Player,G,MP,FGA,3PA,FTA,ORB,DRB,AST,STL,BLK,TOV,PF
Malcolm Hill,9.0,123.0,26.0,16.0,10.0,7.0,9.0,4.0,5.0,1.0,1.0,17.0
Patrick Williams,76.0,2108.0,551.0,144.0,129.0,67.0,271.0,102.0,67.0,48.0,100.0,135.0
Dwight Powell,378.0,7642.0,1913.0,374.0,914.0,615.0,1217.0,426.0,262.0,189.0,269.0,870.0
Jalen Brunson,244.0,5742.0,2162.0,635.0,472.0,100.0,608.0,909.0,138.0,11.0,312.0,395.0
Dorian Finney-Smith,360.0,9595.0,2364.0,1353.0,383.0,530.0,1111.0,494.0,283.0,154.0,303.0,774.0
Tim Hardaway Jr.,383.0,11407.0,5081.0,2647.0,1123.0,158.0,1129.0,850.0,281.0,55.0,470.0,677.0
Reggie Bullock,289.0,7629.0,2281.0,1427.0,236.0,107.0,696.0,438.0,197.0,47.0,205.0,454.0
Frank Ntilikina,247.0,4578.0,1341.0,533.0,194.0,85.0,382.0,609.0,189.0,55.0,292.0,511.0
Sterling Brown,251.0,4319.0,1236.0,668.0,148.0,147.0,713.0,261.0,135.0,45.0,175.0,362.0
Luka Dončić,231.0,7753.0,4465.0,1857.0,1726.0,245.0,1701.0,1813.0,242.0,90.0,936.0,517.0
Maxi Kleber,299.0,6730.0,1675.0,1021.0,294.0,355.0,1037.0,315.0,124.0,272.0,198.0,612.0
Josh Green,71.0,834.0,189.0,46.0,44.0,47.0,90.0,62.0,33.0,8.0,31.0,83.0
Kristaps Porziņģis,245.0,7796.0,3959.0,1365.0,1110.0,418.0,1542.0,391.0,167.0,474.0,401.0,764.0
Moses Brown,77.0,1118.0,328.0,0.0,177.0,173.0,283.0,11.0,35.0,56.0,60.0,128.0
Trey Burke,269.0,4314.0,1883.0,625.0,313.0,76.0,268.0,635.0,129.0,25.0,210.0,274.0
Boban Marjanović,225.0,2099.0,929.0,38.0,397.0,301.0,593.0,117.0,42.0,68.0,158.0,270.0
Marquese Chriss,272.0,5141.0,1744.0,544.0,560.0,339.0,972.0,285.0,176.0,219.0,342.0,707.0
Theo Pinson,80.0,706.0,264.0,154.0,42.0,14.0,97.0,90.0,27.0,6.0,54.0,63.0
Facundo Campazzo,109.0,2385.0,563.0,373.0,149.0,39.0,188.0,408.0,130.0,33.0,127.0,230.0
Aaron Gordon,370.0,11584.0,4483.0,1504.0,1199.0,587.0,1843.0,1070.0,293.0,238.0,628.0,750.0
Monte Morris,247.0,6087.0,2118.0,719.0,282.0,83.0,463.0,882.0,196.0,39.0,189.0,279.0
Jeff Green,381.0,9286.0,3051.0,1215.0,962.0,236.0,1061.0,528.0,196.0,153.0,389.0,719.0
Nikola Jokić,413.0,13136.0,6142.0,1349.0,1805.0,1118.0,3309.0,2810.0,495.0,295.0,1218.0,1167.0
Will Barton,338.0,10535.0,4035.0,1652.0,810.0,299.0,1351.0,1222.0,292.0,172.0,567.0,633.0
JaMychal Green,353.0,7964.0,2357.0,960.0,526.0,611.0,1599.0,343.0,203.0,156.0,396.0,988.0
Bones Hyland,34.0,600.0,273.0,171.0,37.0,7.0,78.0,57.0,17.0,9.0,36.0,71.0
Austin Rivers,347.0,9240.0,3030.0,1521.0,608.0,118.0,662.0,841.0,265.0,63.0,402.0,790.0
Zeke Nnaji,71.0,831.0,230.0,114.0,61.0,48.0,114.0,18.0,15.0,12.0,16.0,82.0
Davon Reed,50.0,599.0,158.0,76.0,17.0,13.0,86.0,38.0,27.0,5.0,15.0,54.0
Markus Howard,54.0,323.0,170.0,113.0,17.0,1.0,25.0,23.0,10.0,1.0,24.0,34.0
Vlatko Čančar,69.0,478.0,126.0,51.0,29.0,22.0,61.0,30.0,14.0,6.0,25.0,38.0
Michael Porter Jr.,125.0,3080.0,1303.0,577.0,215.0,166.0,597.0,133.0,77.0,81.0,138.0,242.0
DeMarcus Cousins,209.0,5985.0,3097.0,938.0,1329.0,378.0,1647.0,791.0,269.0,245.0,664.0,727.0
Jamal Murray,345.0,10384.0,4651.0,1834.0,934.0,270.0,988.0,1322.0,328.0,109.0,678.0,647.0
Nemanja Bjelica,365.0,7676.0,2415.0,1138.0,389.0,415.0,1320.0,664.0,250.0,154.0,378.0,850.0
Kevon Looney,327.0,5234.0,1142.0,56.0,352.0,592.0,892.0,410.0,155.0,191.0,189.0,675.0
Juan Toscano-Anderson,111.0,2077.0,437.0,176.0,85.0,62.0,354.0,263.0,88.0,45.0,127.0,214.0
Gary Payton II,115.0,1546.0,458.0,163.0,68.0,91.0,222.0,123.0,111.0,27.0,62.0,179.0
Stephen Curry,310.0,10385.0,5960.0,3500.0,1579.0,201.0,1381.0,1858.0,457.0,80.0,951.0,678.0
Andrew Wiggins,405.0,14149.0,6723.0,1907.0,1809.0,461.0,1378.0,984.0,395.0,278.0,788.0,865.0
Jordan Poole,149.0,3466.0,1515.0,839.0,365.0,35.0,297.0,368.0,93.0,31.0,222.0,293.0
Otto Porter Jr.,295.0,8525.0,2965.0,1230.0,440.0,354.0,1378.0,544.0,390.0,142.0,242.0,575.0
Damion Lee,189.0,4015.0,1300.0,675.0,264.0,87.0,577.0,280.0,141.0,19.0,147.0,315.0
Jonathan Kuminga,35.0,412.0,166.0,54.0,75.0,18.0,64.0,17.0,13.0,6.0,26.0,52.0
Draymond Green,352.0,11045.0,2588.0,981.0,715.0,349.0,2238.0,2569.0,555.0,393.0,947.0,997.0
Moses Moody,26.0,183.0,59.0,33.0,15.0,4.0,23.0,8.0,3.0,4.0,4.0,12.0
Andre Iguodala,317.0,7468.0,1474.0,727.0,325.0,223.0,962.0,977.0,283.0,205.0,293.0,440.0
Chris Chiozza,80.0,912.0,293.0,156.0,23.0,21.0,87.0,191.0,37.0,11.0,70.0,80.0
Klay Thompson,235.0,7935.0,4043.0,1810.0,485.0,120.0,758.0,543.0,209.0,123.0,382.0,421.0
Quinndary Weatherspoon,34.0,215.0,56.0,11.0,18.0,4.0,15.0,19.0,12.0,4.0,16.0,31.0
James Wiseman,39.0,836.0,368.0,38.0,86.0,55.0,171.0,26.0,11.0,36.0,60.0,121.0
Jae'Sean Tate,115.0,3267.0,1068.0,314.0,264.0,209.0,422.0,319.0,124.0,64.0,181.0,384.0
Christian Wood,181.0,4366.0,1876.0,588.0,715.0,287.0,1063.0,236.0,112.0,159.0,267.0,318.0
Kenyon Martin Jr.,89.0,1908.0,592.0,177.0,154.0,118.0,290.0,109.0,49.0,65.0,67.0,146.0
Eric Gordon,315.0,9621.0,4167.0,2590.0,896.0,97.0,628.0,724.0,192.0,137.0,519.0,565.0
Alperen Şengün,39.0,703.0,243.0,45.0,127.0,65.0,114.0,100.0,32.0,33.0,77.0,112.0
Josh Christopher,39.0,620.0,218.0,81.0,50.0,27.0,52.0,63.0,32.0,6.0,59.0,42.0
Armoni Brooks,56.0,1158.0,429.0,357.0,31.0,21.0,122.0,79.0,32.0,12.0,41.0,91.0
D.J. Augustin,381.0,8611.0,2671.0,1369.0,872.0,134.0,602.0,1445.0,209.0,7.0,535.0,455.0
David Nwaba,224.0,4443.0,1196.0,258.0,469.0,224.0,620.0,238.0,171.0,104.0,157.0,433.0
Jalen Green,32.0,955.0,407.0,198.0,111.0,14.0,89.0,70.0,17.0,5.0,76.0,45.0
Kevin Porter Jr.,107.0,2932.0,1157.0,498.0,299.0,65.0,326.0,457.0,106.0,31.0,296.0,276.0
Garrison Mathews,112.0,2093.0,531.0,443.0,217.0,37.0,181.0,62.0,57.0,19.0,37.0,229.0
Daniel Theis,285.0,5595.0,1570.0,452.0,421.0,442.0,969.0,363.0,140.0,248.0,240.0,766.0
Usman Garuba,15.0,105.0,24.0,13.0,2.0,9.0,25.0,8.0,7.0,6.0,3.0,9.0
Trevelin Queen,8.0,69.0,29.0,22.0,3.0,5.0,9.0,3.0,5.0,0.0,7.0,6.0
Daishen Nix,8.0,67.0,20.0,7.0,3.0,1.0,9.0,10.0,7.0,0.0,9.0,3.0
John Wall,191.0,6638.0,3380.0,857.0,1154.0,113.0,608.0,1778.0,305.0,154.0,742.0,348.0
Eric Bledsoe,398.0,11760.0,4841.0,1759.0,1523.0,283.0,1371.0,2014.0,530.0,169.0,973.0,817.0
Terance Mann,155.0,3000.0,814.0,243.0,207.0,132.0,413.0,264.0,66.0,24.0,108.0,277.0
Reggie Jackson,321.0,8591.0,3922.0,1583.0,734.0,157.0,732.0,1367.0,205.0,35.0,582.0,694.0
Ivica Zubac,328.0,6081.0,1769.0,10.0,696.0,710.0,1357.0,342.0,97.0,274.0,327.0,714.0
Luke Kennard,265.0,6145.0,2098.0,1113.0,281.0,64.0,681.0,534.0,130.0,43.0,249.0,395.0
